

start_list
Boys 400m Freestyle,Preliminaries - Heat 1
1,,
2,,
3,ISB,SAM PRITCHETT
4,ISKL,TONG BOONVANICHYALERT
5,ISB,JOHN PARK
6,ISB,AYDIN YOLAR
7,,


start_list
Boys 400m Freestyle,Preliminaries - Heat 1
1,ISM,AVI CONCEPCION
2,ISM,JUN JANG
3,SAS,JONATHAN CHAN
4,SAS,TIM HAGEMEISTER
5,ISKL,DANTE CERRON
6,ISM,STURLA BLOM
7,ISKL,KANE EDWARDS


start_list
Boys 400m Freestyle,Preliminaries - Heat 1
1,TAS,MICHAEL CHEN
2,ISM,ROM VILLARICA
3,TAS,JUSTIN HSU
4,ISB,DAVID SCHWAN
5,SAS,ANKIT DAS
6,JIS,ARIEF ROWE
7,TAS,RYAN NAM


start_list
Boys 400m Freestyle,Preliminaries - Heat 1
1,JIS,JAKUB MIERZEJEWSKI
2,TAS,DANIEL WANG
3,ISKL,CHARLIE ELLISON
4,SAS,KEI HYOGO
5,ISM,KAIZER SOH
6,JIS,SUNG CHOE
7,JIS,ABYASA KAMDANI
